"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1645","Given User is on Login screen","","Tue Aug 13 09:39:27 GMT-04:00 2024","passed","Tue Aug 13 09:39:29 GMT-04:00 2024","","Login: Login only with invalid password","",""
"","1994","Given User is on the New Access Screen","","Tue Aug 13 09:39:10 GMT-04:00 2024","passed","Tue Aug 13 09:39:12 GMT-04:00 2024","","Login: Verify New Access screen","",""
"","86","When User only types a valid password on password textfield","","Tue Aug 13 09:39:42 GMT-04:00 2024","passed","Tue Aug 13 09:39:43 GMT-04:00 2024","","Login: Login only with valid password","",""
"","135","When User clicks on Iniciar sesión button","","Tue Aug 13 09:40:16 GMT-04:00 2024","passed","Tue Aug 13 09:40:17 GMT-04:00 2024","","Login: Login empty credentials","",""
"","1756","And after dismissing the message User still being on login screen","","Tue Aug 13 09:39:32 GMT-04:00 2024","passed","Tue Aug 13 09:39:34 GMT-04:00 2024","","Login: Login only with invalid password","",""
"","115","When User only types a valid username on username textfield","","Tue Aug 13 09:39:49 GMT-04:00 2024","passed","Tue Aug 13 09:39:49 GMT-04:00 2024","","Login: Login only with valid username","",""
"","54","And User cleared password textfield","","Tue Aug 13 09:39:34 GMT-04:00 2024","passed","Tue Aug 13 09:39:34 GMT-04:00 2024","","Login: Login only with invalid password","",""
"","3562","Then User should be on Login Screen","","Tue Aug 13 09:39:17 GMT-04:00 2024","passed","Tue Aug 13 09:39:20 GMT-04:00 2024","","Login: Verify New Access screen","",""
"","2479","Given User is on Login screen","","Tue Aug 13 09:39:47 GMT-04:00 2024","passed","Tue Aug 13 09:39:49 GMT-04:00 2024","","Login: Login only with valid username","",""
"","1680","And after dismissing the message User still being on login screen","","Tue Aug 13 09:39:45 GMT-04:00 2024","passed","Tue Aug 13 09:39:47 GMT-04:00 2024","","Login: Login only with valid password","",""
"","118","When User clicks Reset password button","","Tue Aug 13 09:39:22 GMT-04:00 2024","passed","Tue Aug 13 09:39:22 GMT-04:00 2024","","Login: Verify Reset Password","",""
"","0","hook:","","Tue Aug 13 09:39:53 GMT-04:00 2024","failed","Tue Aug 13 09:39:53 GMT-04:00 2024","","","",""
"","1894","And User types a valid password on password textfield","","Tue Aug 13 09:39:57 GMT-04:00 2024","passed","Tue Aug 13 09:39:59 GMT-04:00 2024","","Login: Login with invalid user and valid password","",""
"","1","hook:","","Tue Aug 13 09:39:27 GMT-04:00 2024","failed","Tue Aug 13 09:39:27 GMT-04:00 2024","","","",""
"","1928","And User types a valid password on password textfield","","Tue Aug 13 09:40:30 GMT-04:00 2024","passed","Tue Aug 13 09:40:32 GMT-04:00 2024","","Login: Login with valid credentials","",""
"","1354","And User clicks on Iniciar sesión button","","Tue Aug 13 09:39:36 GMT-04:00 2024","passed","Tue Aug 13 09:39:37 GMT-04:00 2024","","Login: Login only with invalid user","",""
"","267","When User press on Afiliarme","","Tue Aug 13 09:39:12 GMT-04:00 2024","passed","Tue Aug 13 09:39:12 GMT-04:00 2024","","Login: Verify New Access screen","",""
"","2058","And User press Ya soy cliente","","Tue Aug 13 09:39:15 GMT-04:00 2024","passed","Tue Aug 13 09:39:17 GMT-04:00 2024","","Login: Verify New Access screen","",""
"","1","Then User should be redirected to AZUL reset password portal","","Tue Aug 13 09:39:22 GMT-04:00 2024","passed","Tue Aug 13 09:39:22 GMT-04:00 2024","","Login: Verify Reset Password","",""
"","1109","Given User is on Login screen","","Tue Aug 13 09:40:15 GMT-04:00 2024","passed","Tue Aug 13 09:40:16 GMT-04:00 2024","","Login: Login empty credentials","",""
"","14869","When User checks the elements in the screen matches with the provided design","","Tue Aug 13 09:38:55 GMT-04:00 2024","passed","Tue Aug 13 09:39:10 GMT-04:00 2024","","Login: Verify Onboarding screen","",""
"","2030","And User clicks on Iniciar sesión button","","Tue Aug 13 09:39:29 GMT-04:00 2024","passed","Tue Aug 13 09:39:31 GMT-04:00 2024","","Login: Login only with invalid password","",""
"","722","When User types a valid username on username textfield","","Tue Aug 13 09:40:29 GMT-04:00 2024","passed","Tue Aug 13 09:40:30 GMT-04:00 2024","","Login: Login with valid credentials","",""
"","837","And User clicks on Iniciar sesión button","","Tue Aug 13 09:40:10 GMT-04:00 2024","passed","Tue Aug 13 09:40:11 GMT-04:00 2024","","Login: Login with valid user and invalid password","",""
"","1","hook:","","Tue Aug 13 09:40:06 GMT-04:00 2024","failed","Tue Aug 13 09:40:06 GMT-04:00 2024","","","",""
"","0","hook:","","Tue Aug 13 09:39:47 GMT-04:00 2024","failed","Tue Aug 13 09:39:47 GMT-04:00 2024","","","",""
"","2514","Given User is on Login screen","","Tue Aug 13 09:39:53 GMT-04:00 2024","passed","Tue Aug 13 09:39:56 GMT-04:00 2024","","Login: Login with invalid user and valid password","",""
"","1100","Then User should see a message asking for typing the password","","Tue Aug 13 09:39:37 GMT-04:00 2024","passed","Tue Aug 13 09:39:39 GMT-04:00 2024","","Login: Login only with invalid user","",""
"","51","And User cleared password textfield","","Tue Aug 13 09:39:47 GMT-04:00 2024","passed","Tue Aug 13 09:39:47 GMT-04:00 2024","","Login: Login only with valid password","",""
